Date;Total;Deaths;Recovered;New Deaths;New Cases;Total Actual Positive
24/2/2020;16;0;14;0;1;2
25/2/2020;17;0;14;0;1;3
26/02/20;27;0;15;0;10;12
27/02/20;46;0;16;0;19;30
28/02/20;48;0;16;0;2;32
29/02/20;79;0;16;0;31;63
01/03/20;130;0;16;0;51;114
02/03/20;159;0;16;0;29;143
03/03/20;196;0;16;0;37;180
04/03/20;262;0;16;0;66;246
05/03/20;482;0;16;0;220;466
06/03/20;670;0;17;0;188;653
07/03/20;799;0;18;0;129;781
08/03/20;1040;0;18;0;241;1022
09/03/20;1176;2;18;2;136;1156
10/03/20;1457;2;18;0;281;1437
11/03/20;1908;3;25;1;451;1880
12/03/20;2078;3;25;0;170;2050
13/03/20;3675;7;46;4;1597;3622
14/03/20;4585;9;46;2;910;4530
15/03/20;5795;11;46;2;1210;5738
16/03/20;7272;17;67;6;1477;7188
17/03/20;9257;24;67;7;1985;9166
18/03/20;12327;28;105;4;3070;12194
19/03/20;15320;44;115;16;2993;15161
20/03/20;19848;68;180;24;4528;19600
21/03/20;22364;84;239;16;2516;22041
22/03/20;24873;94;266;10;2509;24513
23/03/20;29056;123;453;29;4183;28480
24/3/2020;32991;159;3290;36;3935;29542
25/3/2020;37323;206;3547;47;4332;33570
26/3/2020;43211;262;5678;56;5888;37271
27/3/2020;49039;323;6932;61;5828;41784
28/3/2020;54268;398;8481;75;5229;45389
29/3/2020;58655;456;9291;58;4387;48908
30/3/2020;66125;616;13500;160;7470;52009
31/3/2020;70985;702;15826;86;4860;54457
1/4/2020;77779;909;19175;207;6794;57695
2/4/2020;84788;1107;22440;198;7009;61241
3/4/2020;91159;1275;24981;168;6371;64903
4/4/2020;95614;1427;26144;152;4455;68043
5/4/2020;100024;1576;26469;149;4410;71979
6/4/2020;101806;1680;36081;104;1782;64045
7/4/2020;107458;1983;36287;303;5652;69188
8/4/2020;111779;2196;43656;213;4321;65927
9/4/2020;115523;2451;52407;255;3744;60665
10/4/2020;120157;2688;55980;237;4634;61489
11/4/2020;124288;2736;58190;48;4131;63362
12/4/2020;127459;2996;60260;260;3171;64203
13/4/2020;128208;3043;62925;47;749;62240
14/4/2020;131359;3294;67056;251;3151;61009
15/4/2020;133456;3592;71995;298;2097;57869
16/4/2020;136569;3943;76881;351;3113;55745
17/4/2020;139702;4203;83114;260;3133;52385
18/4/2020;143160;4451;85400;248;3458;53309
