;Misurati;Rate Crescita;Denominatore 1;Previsione 1;Denominatore 2;Previsione 2;Denominatore 3;Previsione 3;Denominatore 4;Previsione 4;Denominatore 5;Previsione 5;Denominatore 6;Previsione 6;Denominatore 7;Previsione 7;Denominatore 8;Previsione 8;Denominatore 9;Previsione 9
0;229;0,4072;436,6800;229,0006;349,3400;229,0033;218,3400;229,0006;218,3400;229,0006;262,0100;228,9989;436,6800;229,0006;393,0100;229,0018;436,6800;229,0006;137,2923;1456,7454
1;322;0,2379;339,3592;294,6730;271,5289;294,6279;169,7913;294,4792;166,9129;299,5574;202,2522;296,6594;333,5892;299,7699;305,4441;294,6530;339,3592;294,6730;119,1556;1678,4779
2;400;0,5273;263,7776;379,1073;211,0990;378,9690;132,0872;378,5377;127,6545;391,6822;156,1758;384,1824;254,8918;392,3234;237,4383;379,0458;263,7776;379,1073;103,4323;1933,6318
3;650;0,3963;205,0792;487,6166;164,1678;487,3063;102,8054;486,3559;97,6855;511,8469;120,6486;497,3122;194,8158;513,3055;184,6235;487,4786;205,0792;487,6166;89,8014;2227,1373
4;888;0,2777;159,4926;626,9883;127,7199;626,3708;80,0644;624,4971;74,8077;668,3805;93,2552;643,3957;148,9550;671,3438;143,6063;626,7137;159,4926;626,9883;77,9844;2564,6171
5;1128;0,5033;124,0890;805,8729;99,4136;804,7189;62,4033;801,2402;57,3433;871,9418;72,1335;831,7908;113,9458;877,6103;111,7513;805,3596;124,0890;805,8729;67,7398;2952,4720
6;1694;0,1636;96,5938;1035,2631;77,4303;1033,1875;48,6872;1026,9640;44,0113;1136,0718;55,8476;1074,3520;87,2205;1146,5194;87,0120;1034,3396;96,5938;1035,2631;58,8586;3397,9739
7;2036;0,2332;75,2404;1329,0738;60,3575;1325,4353;38,0350;1314,5793;33,8339;1477,8057;43,2903;1385,9905;66,8190;1496,5811;67,7989;1327,4542;75,2404;1329,0738;51,1592;3909,3644
8;2502;0,1958;58,6568;1704,8325;47,0984;1698,5702;29,7622;1679,9818;26,0648;1918,2988;33,6080;1785,2874;51,2448;1951,4157;52,8776;1702,0435;58,6568;1704,8325;44,4844;4495,9584
9;3089;0,2180;45,7776;2184,4745;36,8011;2173,8472;23,3374;2142,4826;20,1339;2483,3707;26,1425;2295,1154;39,3559;2540,9159;41,2894;2179,7385;45,7776;2184,4745;38,6978;5168,2502
10;3858;0,1881;35,7753;2795,2228;28,8040;2777,3944;18,3478;2725,1294;15,6064;3203,8043;20,3861;2943,1751;30,2801;3302,4992;32,2896;2787,2709;35,7753;2795,2228;33,6813;5938,0181
11;4636;0,2924;28,0073;3570,4948;22,5932;3540,8865;14,4727;3454,7883;12,1503;4115,1378;15,9477;3762,2935;23,3518;4282,3203;25,3003;3557,2747;28,0073;3570,4948;29,3323;6818,4241
12;5883;0,2620;21,9745;4550,7266;17,7698;4502,0230;11,4632;4361,7893;9,5119;5256,5839;12,5255;4790,2423;18,0629;5536,2017;19,8722;4528,9511;21,9745;4550,7266;25,5620;7824,1015
13;7375;0,2502;17,2893;5783,9265;14,0238;5704,5849;9,1260;5478,8802;7,4978;6668,6269;9,8867;6068,7430;14,0255;7129,8769;15,6566;5748,3928;17,2893;5783,9265;22,2935;8971,2220
14;9172;0,0662;13,6506;7325,6623;11,1146;7197,7459;7,3108;6839,1939;5,9603;8388,8624;7,8521;7641,2443;10,9434;9137,9361;12,3826;7268,2537;13,6506;7325,6623;19,4599;10277,5317
15;10149;0,2438;10,8248;9238,0608;8,8552;9034,2135;5,9011;8472,9735;4,7866;10445,8740;6,2833;9549,0595;8,5906;11640,6573;9,8400;9146,3376;10,8248;9238,0608;17,0034;11762,3425
