Data;Deceduti / Totale Casi;Deceduti / Dismessi Guariti;Totale Casi / Tamponi;Terapia Intensiva / Totale Casi;Deceduti + Terap. Intens. / Totale Casi;Nuovi Positivi / Totali Positivi Precedenti;Incremento Nuovi Positivi;Totale Ospedalizzati / Totale Casi;Nuovi Deceduti;Incremento Nuovi Deceduti;Nuovi Deceduti / Deceduti Precedenti;R2 Values Exponential Fitting Total Positive Cases;R2 Values Exponential Fitting Deaths;Nuovi Tamponi;Nuovi Positivi / Nuovi Tamponi;Nuovi Casi
24/02/20;3,06%;700,00%;5,30%;11,35%;14,41%;40,72%;10,00%;55,46%;1;10,00%;16,67%;1;1;2000;2,50%;50
25/02/20;3,11%;1000,00%;3,73%;10,87%;13,98%;23,79%;-59,28%;46,58%;3;200,00%;42,86%;1;1;4299;2,16%;93
26/02/20;3,00%;400,00%;4,17%;9,00%;12,00%;52,73%;-17,78%;41,00%;2;-33,33%;20,00%;0,9838;0,9663;964;8,09%;78
27/02/20;2,62%;37,78%;5,41%;8,62%;11,23%;39,63%;174,32%;46,77%;5;150,00%;41,67%;0,9774;0,9858;2427;10,30%;250
28/02/20;2,36%;45,65%;5,66%;7,21%;9,57%;27,77%;14,78%;46,06%;4;-20,00%;23,53%;0,9886;0,9905;3681;6,47%;238
29/02/20;2,57%;58,00%;6,04%;9,31%;11,88%;50,33%;-2,15%;44,86%;8;100,00%;38,10%;0,9910;0,9944;2966;8,09%;240
01/03/20;2,01%;40,96%;8,02%;8,26%;10,27%;16,36%;131,58%;45,99%;5;-37,50%;17,24%;0,9943;0,9933;2466;22,95%;566
02/03/20;2,55%;34,90%;8,72%;8,15%;10,71%;23,32%;-51,14%;44,60%;18;260,00%;52,94%;0,9937;0,9938;2218;15,42%;342
03/03/20;3,16%;49,38%;9,68%;9,15%;12,31%;19,58%;65,89%;50,48%;27;50,00%;51,92%;0,9913;0,9909;2511;18,56%;466
04/03/20;3,46%;38,77%;10,35%;9,55%;13,01%;21,80%;3,50%;53,12%;28;3,70%;35,44%;0,9890;0,9919;3981;14,75%;587
