Date;Total (official);Deaths (official);Recovered;Stockholm;Västra Götland;Örebro;Skåne;Total JKU;Total Guess;R2 Values Exponential Fitting Deaths;New Cases (official);New Deaths (official);Increment New Cases (official);Increment New Deaths (official);Actual New Deaths (official);TOTAL Actual Deaths (official);TOTAL Actual Cases (official)
31/01/20;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0
26/02/20;2;0;0;0;1;0;0;2;2;0;1;0;1;0;0;0;1
27/02/20;7;0;0;1;4;0;0;7;7;0;1;0;0;0;0;0;2
28/02/20;11;0;0;3;4;0;0;7;11;0;8;0;7;0;0;0;10
29/02/20;13;0;0;4;5;0;0;12;13;0;3;0;-5;0;0;0;13
01/03/20;14;0;0;4;6;0;0;14;14;0;0;0;-3;0;0;0;13
02/03/20;15;0;0;5;6;0;0;15;15;0;5;0;5;0;0;0;18
03/03/20;30;0;0;15;9;0;1;21;30;0;13;0;8;0;0;0;31
04/03/20;52;0;0;31;11;1;2;35;52;0;30;0;17;0;0;0;61
05/03/20;94;0;0;59;12;1;9;94;94;0;25;0;-5;0;0;0;86
06/03/20;137;0;0;80;14;1;14;101;137;0;59;0;34;0;0;0;145
07/03/20;162;0;0;102;14;1;17;161;162;0;33;0;-26;0;0;0;178
08/03/20;203;0;0;115;26;4;22;203;203;0;46;0;13;0;0;0;224
09/03/20;259;0;1;147;33;4;22;248;259;0;101;0;55;0;0;0;325
10/03/20;355;0;1;207;48;5;25;355;355;0;98;0;-3;0;0;0;423
11/03/20;497;1;1;233;85;7;60;500;497;0;196;1;98;1;1;1;619
12/03/20;684;1;1;267;116;8;98;599;684;0;151;0;-45;-1;0;1;770
13/03/20;800;1;1;309;134;8;129;814;1175;0;152;0;1;0;1;2;922
14/3/2020;924;2;1;341;155;9;170;961;1681;0,6000;71;1;-81;1;1;3;993
15/03/20;992;3;1;359;159;9;197;1022;2407;0,7992;69;1;-2;0;2;5;1062
16/03/20;1059;7;1;377;176;9;201;1103;3445;0,8547;83;4;14;3;2;7;1145
17/03/20;1167;8;1;410;179;12;207;1190;4931;0,9072;119;1;36;-3;1;8;1264
18/03/20;1279;10;1;446;199;23;209;1279;7057;0,9313;145;2;26;1;6;14;1409
19/03/20;1423;10;16;501;207;27;216;1439;10101;0,9272;143;0;-2;-2;7;21;1552
20/03/20;1623;11;16;606;228;33;220;1639;;0,9168;180;1;37;1;9;30;1732
21/03/20;1746;20;16;661;242;41;223;1763;;0,9343;136;9;-44;8;8;38;1868
22/03/20;1906;21;16;760;250;42;228;1931;;0,9393;118;1;-18;-8;11;49;1986
23/03/20;2016;25;16;816;254;42;231;2046;;0,9422;182;4;64;3;11;60;2168
24/3/2020;2272;36;16;959;265;48;238;2286;;0,9499;230;11;48;7;21;81;2398
25/3/2020;2510;42;16;1070;275;58;246;2526;;0,9543;314;6;84;-5;22;103;2712
26/3/2020;2806;66;16;1216;297;66;256;2840;;0,9616;286;24;-28;18;31;134;2998
27/3/2020;3046;92;16;1300;317;68;263;3069;;0,9678;365;26;79;2;32;166;3363
28/3/2020;3447;102;16;1500;330;75;271;3447;;0,9716;300;10;-65;-16;35;201;3663
29/3/2020;3700;110;16;1700;351;77;275;3700;;0,9727;280;8;-20;-2;38;239;3943
