Week;Skåne;Stockholm;Göteborg;Örebro
6;0;0;0;0
7;0;0;0;0
8;0;0;0;0
9;0;0;0;0
10;0;0;0;0
11;0;4;1;0
12;2;25;2;0
13;5;126;6;0
14;8;253;28;7
15;17;375;43;15
16;25;317;71;17
17;12;264;65;17
18;23;238;77;16
19;29;188;102;21
20;20;142;75;15
21;32;107;75;22
22;24;88;54;10
23;13;81;55;5
24;20;53;50;8
25;11;44;43;7
26;9;31;28;6
27;7;23;15;3
28;2;12;23;1
29;3;6;20;1
30;1;7;6;0
31;0;3;3;0
32;5;3;1;0
33;1;1;3;0
34;3;3;5;0
35;1;3;2;0
36;3;2;2;0
37;0;1;1;1
38;3;2;2;0
39;0;2;3;0
40;3;5;4;0
41;0;9;2;0
42;3;3;1;0
43;6;12;5;1
44;15;22;11;2
45;32;45;24;3
46;32;89;31;5
47;50;100;44;6
48;60;114;64;5
49;75;135;56;10
50;69;138;69;5
51;102;153;108;7
52;114;130;127;8
53;133;101;135;9
1;150;96;140;6
2;110;65;79;10
3;43;23;13;7
